""	"lethalityCelltype1"	"lethalityCelltype2"	"effectSize"	"nexons"	"p0"	"lfdr"	"postProb"	"BayesFactor"
"LRRTM2"	0.925832768689521	0.390573341672491	-0.53525942701703	4	0.918393281170374	0.983779603938382	0.983779603938382	0.0888581400831119
"CCDC6"	-3.01992234727811	-2.05757584493089	0.962346502347226	6	0.918437929086727	0.983789109744101	0.983789109744101	0.088805207548839
"KLHL33"	0.670694981706411	-0.0412360174297574	-0.711930999136168	6	0.918533064553732	0.983809362178434	0.983809362178434	0.0886924364403245
"DLD"	2.29404454259963	0.723880671494089	-1.57016387110554	3	0.918558912669414	0.983814864143535	0.983814864143535	0.0886618007917542
"IFT172"	0.630050664583256	1.15073984798034	0.520689183397082	6	0.918618102490286	0.983827462205877	0.983827462205877	0.0885916544525914
"IL17C"	-5.24858103018455	-3.7035111805486	1.54506984963595	6	0.9186363687965	0.983831349774954	0.983831349774954	0.088570008729454
"GUCY1A2"	0.0187953024339062	0.737270974261665	0.718475671827759	6	0.918658167377552	0.983835988946508	0.983835988946508	0.0885441783581482
"KLHL24"	0.0984124408153328	-0.469641646973956	-0.568054087789289	6	0.918744642731719	0.983854390883691	0.983854390883691	0.088441720897205
"KIF16B"	0.00318892134790742	0.657250870512872	0.654061949164964	5	0.918767230220388	0.983859197039329	0.983859197039329	0.088414962035734
"CBLN2"	-0.310637256554226	0.564974294825274	0.875611551379499	6	0.91881482624435	0.983869323879933	0.983869323879933	0.0883585804633718
"FOXS1"	0.915711053058633	0.19043973708904	-0.725271315969593	4	0.918844215711057	0.983875576554802	0.983875576554802	0.0883237690364512
"C12orf65"	1.32717520039446	0.584206715423487	-0.742968484970968	3	0.918921767925246	0.983892074423398	0.983892074423398	0.0882319201751125
"MOGAT3"	0.38781158432612	1.40685842389172	1.0190468395656	6	0.918936200487146	0.983895144450644	0.983895144450644	0.0882148287007097
"HNF4G"	-1.88765215782817	-1.10777022195124	0.779881935876931	5	0.91894242195049	0.983896467827471	0.983896467827471	0.0882074612220662
"DAPK3"	-0.201988423491838	0.912857953025029	1.11484637651687	6	0.919027569911299	0.983914578335334	0.983914578335334	0.0881066387339346
"ACTL6B"	1.03934374546044	0.452545188673611	-0.586798556786833	6	0.919042172981552	0.983917684058752	0.983917684058752	0.0880893493231162
"PSMB4"	1.90856115240252	1.18347733050191	-0.725083821900602	6	0.919045807898439	0.983918457106254	0.983918457106254	0.0880850458223371
"PKM"	0.72854402538259	1.60178605159408	0.873242026211494	5	0.91905178558075	0.983919728385293	0.983919728385293	0.0880779687165269
"RGL3"	-1.78550897616395	-2.79941286048414	-1.01390388432019	6	0.919089089626526	0.983927661570653	0.983927661570653	0.0880338057394987
"MAPK4"	-0.797989814278515	0.297505014528306	1.09549482880682	6	0.919204043194594	0.983952104681089	0.983952104681089	0.0878977387051169
"TMEM110"	0.756895756135263	1.51574407094542	0.758848314810161	6	0.919213102322823	0.983954030757287	0.983954030757287	0.0878870171378447
"SCO1"	1.4471464080961	0.970037845455472	-0.477108562640628	4	0.919225769561184	0.983956723916981	0.983956723908722	0.0878720256911161
"OPN4"	-0.0763426281320727	0.700020317943347	0.77636294607542	6	0.919240523808157	0.983959860699107	0.983959860699107	0.0878545648284507
"PPP1R3G"	0.620606917893588	1.27291025136834	0.652303333474754	6	0.919259678938147	0.983963933008013	0.983963933008013	0.0878318965921775
"GHRHR"	-0.781084938516222	-0.250226291381006	0.530858647135215	6	0.919272415998514	0.983966640784066	0.983966640784066	0.0878168240409996
"CDT1"	1.50759883630795	2.19422586554041	0.686627029232459	5	0.919332344113036	0.98397938011558	0.98397938011558	0.08774591300254
"SCYL1"	1.14519044689535	1.83373169602286	0.688541249127507	5	0.919358848731716	0.983985013960178	0.983985013960178	0.087714553875814
"IGLL5"	0.120158097688666	0.811521102416592	0.691363004727926	3	0.919419331354149	0.983997869223753	0.983997869223753	0.0876430002044538
"LRRTM4"	0.725764820087309	2.17386404861476	1.44809922852745	5	0.919430853815401	0.984000318108635	0.984000318108635	0.0876293696804471
"LEMD3"	-1.60537498370607	-0.688707872409791	0.916667111296281	5	0.919460546488514	0.984006628507476	0.984006628507476	0.0875942462339157
"FBXO8"	-0.903929197596495	-0.169073999419376	0.734855198177119	3	0.919689787293846	0.984055336634414	0.984055336634414	0.0873231537586865
"C10orf62"	0.369557582225721	0.98617459978926	0.616617017563539	6	0.919695667220902	0.984056585720725	0.984056585720725	0.0873162021321225
"PTPN1"	-0.554236017640045	-0.122769370817501	0.431466646822544	6	0.919759535433088	0.984070152566032	0.984070152566032	0.0872406987649541
"ADCY5"	-0.671025087725021	0.0952547705838557	0.766279858308876	5	0.919791388357445	0.984076918179756	0.984076918179756	0.0872030469711083
"NKAIN4"	0.854045429486837	1.73529252007003	0.88124709058319	3	0.919803580452869	0.984079507701566	0.984079507701566	0.0871886359777439
"CNOT11"	0.652639379813956	-0.136151059467272	-0.788790439281228	5	0.919872309834382	0.98409410434616	0.98409410434616	0.0871074053528627
"CISH"	0.305937175392309	-0.270929551478879	-0.576866726871189	6	0.919883805908873	0.984096545694827	0.984096545694827	0.0870938194329553
"NAA30"	1.46422369257921	1.95346288940668	0.489239196827478	5	0.919927096317887	0.984105738566549	0.984105738566499	0.0870426624051126
"P2RY14"	-0.614215464123882	0.330503530075489	0.944718994199372	5	0.919943168052006	0.984109151279646	0.984109151279646	0.0870236713834354
"DGKA"	0.473288562013502	0.967973026956161	0.494684464942659	6	0.919946181725883	0.984109791200228	0.984109791200228	0.0870201103763812
"BAMBI"	1.0381684743958	-0.203172878897286	-1.24134135329309	3	0.91994866513535	0.984110318522454	0.984110318522454	0.0870171759560869
"CABP2"	0.224352314095408	0.965322147768267	0.740969833672859	6	0.919970534884651	0.984114962202992	0.984114962202992	0.086991335135949
"C7orf62"	-0.315276717070101	-1.01010550469417	-0.694828787624065	5	0.92000292833958	0.984121840093674	0.984121840093674	0.0869530619916601
"DHCR24"	0.385533278634321	1.0158049430963	0.630271664461979	6	0.920011799472478	0.98412372357566	0.98412372357566	0.0869425811423134
"FLYWCH1"	0.992693993581704	-0.275905486890968	-1.26859948047267	6	0.920063441539667	0.98413468742625	0.98413468742625	0.0868815723474074
"PODXL2"	1.2264601932574	0.249991173471148	-0.976469019786254	6	0.920093381578665	0.984141043383767	0.984141043383767	0.086846204984361
"ARHGEF33"	-0.196149753485154	0.579809933242413	0.775959686727567	6	0.920131317387992	0.984149096283621	0.984149096283621	0.0868013957385279
"WDR70"	1.22247940762854	0.533610256250706	-0.688869151377832	3	0.920143871860634	0.984151761192215	0.984151761192215	0.0867865673852595
"ABHD12B"	0.281293260646225	0.828878316703321	0.547585056057096	5	0.920186091528395	0.984160722634923	0.984160722634923	0.0867367038106787
"PHF16"	0.0447416085428475	1.5500223396531	1.50528073111025	6	0.92024124953021	0.984172429343521	0.984172429343521	0.0866715662990627
"ZFAND4"	0.657892237749249	-0.0338650246887269	-0.691757262437976	6	0.920356511325864	0.984196888822357	0.984196888822357	0.0865354758661966
"DNAJC30"	1.02295225616347	1.66873120076947	0.645778944605995	5	0.920414853320553	0.984209267590398	0.984209267590398	0.0864666040452625
"PPIF"	1.2178654996899	0.742848923328764	-0.475016576361138	6	0.920426726231311	0.984211786582451	0.984211786582451	0.0864525893272369
"HSCB"	2.35120744136984	0.797290706330272	-1.55391673503957	6	0.920478839829886	0.984222842542397	0.984222842542397	0.0863910790005889
"ARHGEF11"	1.66164190380927	0.476445621603789	-1.18519628220548	5	0.920555170184957	0.984239034303902	0.984239034303902	0.0863009979066009
"HOXD4"	0.736639263348941	0.646014114233801	-0.0906251491151403	6	0.920574290457364	0.984243089900897	0.984243089900897	0.0862784355004916
"TAF1"	0.619166245947891	0.073705757349307	-0.545460488598584	6	0.920598927258277	0.984248315408496	0.984248315408496	0.0862493648327342
"NEK8"	0.159034320235339	-0.412870184456911	-0.571904504692251	6	0.920624942736684	0.984253833092581	0.984253833092581	0.0862186690568723
"CLDN16"	0.215499114465738	-0.525156693070895	-0.740655807536634	6	0.920699814748746	0.984269711479059	0.984269711479059	0.086130336925173
"PPAP2B"	0.494182267807633	1.32095888975842	0.826776621950782	6	0.920729926973409	0.984276096906987	0.984276096906987	0.0860948153245813
"ACTRT3"	-0.660188923006814	-0.0858591781294512	0.574329744877363	6	0.920732379057339	0.984276616867285	0.984276616867285	0.0860919228493052
"ST8SIA1"	-0.956769462973535	0.161975298526518	1.11874476150005	6	0.920732808365112	0.984276707901052	0.984276707901052	0.0860914164399525
"KIF27"	-0.438765912583219	0.559977659014787	0.998743571598006	4	0.92076632901007	0.984283815669834	0.984283815669834	0.0860518771088378
"TMEM161A"	-2.18481001564697	-3.49866177070505	-1.31385175505808	6	0.920783836811872	0.984287527885956	0.984287527885956	0.0860312268972995
"UBAP2"	0.645054423268744	1.45005621417935	0.805001790910601	6	0.920952395506999	0.98432326195265	0.98432326195265	0.0858324544011676
"SLC25A43"	-1.35510999985531	-0.553755753931345	0.801354245923962	6	0.920973883795388	0.984327816668154	0.984327816668154	0.0858071196101034
"MCM4"	1.25484169758637	0.692972215762511	-0.561869481823855	6	0.920977194618305	0.984328518423951	0.984328518423951	0.0858032162397309
"NUP85"	1.86714805291512	1.26660044002413	-0.600547612890986	6	0.920990785957551	0.984331399176265	0.984331399176265	0.0857871927136638
"EBNA1BP2"	0.737707148923518	0.0625380160649397	-0.675169132858579	6	0.921015903333989	0.984336722750418	0.984336722750418	0.0857575817964661
"SCAND3"	-0.0169365320654849	0.807943856461845	0.82488038852733	5	0.921039956204282	0.984341820486585	0.984341820486585	0.0857292273411479
"MC1R"	-0.121537435461158	0.465166843780394	0.586704279241552	5	0.921085089933732	0.984351385498451	0.984351385498451	0.0856760259488572
